twitter_text,category
#NataliePortman appeared on the Today Show to promote #VoxLux. Check it out here   ,positive
"Watch #NataliePortman perform the Jinx Challenge with #JimmyFallon
  ",positive
"Hilarious @WIRED video featuring #NataliePortman and #JudeLaw
  ",positive
"More great #VoxLux Video Interviews (especially the first one with #JudeLaw)
  ",positive
If you're happy and you know it and you really want to show it... ,positive
"#NataliePortman Is Finally Done Playing The Girl Next Door 
  ",positive
It's here - #NataliePortman's first music video for #VoxLux titled Wrapped Up and shared by @Sia   ,positive
"The #JesssicaSimpson and #NataliePortman ""drama"" in a nutshell
  ",negative
K-POW. #NataliePortman looked stunning at the #VoxLux Premiere in LA last night. Lots of photos here  ,positive
"Here's a preview of #NataliePortman's appearance on The Ellen Show Tonight 
 ",negative
"Another day another #NataliePortman interview, this time with @USATODAY 
 ",negative
"Triumph &amp; Tears in these new #VoxLux stills. 
More here   ",positive
"Don't forget, #NataliePortman on @TheEllenShow tomorrow  
 ",positive
"#NataliePortman attends #AFL Training Session Down Under 
 ",negative
#NataliePortman attended the National Gallery of Victoria Gala earlier today and WOW   ,positive
"RT @NewYorker: Is Natalie Portmans performance in ""Vox Lux""as a star who has endured a violent calamity in an age when fame itself is a p",negative
RT @filmartbox: Darren Aronofsky and Natalie Portman on the set of Black Swan (2010). ,negative
The second #VoxLux #trailer is here and it is decidedly more focused on the mainstream than the first one. ,positive
RT @GoldDerby: BIG new about the #GoldenGlobes category placement for #NataliePortman @VoxLuxMovie. @natpdotcom @nataliepbr ,negative
"RT @NEONrated: ""We're gonna bring it back to where it all began."" - Celeste
New #VoxLux trailer tomorrow. Featuring new music by Sia. ",negative
"#NataliePortman meets a friend at the zoo in Australia 
  ",positive
#NataliePortman is in Australia with the family at the moment. We (generally) don't cover private coverage on social media accounts so be sure to keep checking the main site   ,positive
"New #VoxLux video clip + an interview video piece about the film
  ",negative
A video showing the many faces of #natalieportman. What's missing? ,negative
"RT @FamaeChallenge: [They support us ] Today, thank you @natpdotcom for being a PRECIOUS WATER! supporter. 
2 000 000 for water innovato",positive
"Love this new #VoxLux still and check out the amazing costume exhibit here 
 ",positive
"New photos and interview with #NataliePortman in the LA Times over here
  ",negative
Gotta love this new #VoxLux still  ,positive
"Gold Derby sits down for a 12-minute interview with #NataliePortman
Watch it here   ",negative
Excellent news - #NataliePortman rumoured to be joining #WesAnderson's new film   ,positive
How cool are these #VoxLux stills? More here   ,positive
"All 40 #NataliePortman Movies Ranked From Worst To Best. What do you think?
 ",positive
"#NataliePortman looked stunning at the #AFIFEST screening of #VoxLux 
  ",positive
Simply sublime @mondo posters for #annihilation   ,negative
"A glimpse of #NataliePortman during the #VoxLux Press Junket 
  ",negative
"It's #VotingDay in the US today and last night #NataliePortman joined many other celebs for a telethon to encourage people to cast their votes  
  ",positive
#NataliePortman joins other celebs like #Pharrell and #JessicaAlba for Get Out The Vote telethon   ,positive
Remember remember the #5ThOfNovember ,negative
"#NataliePortman attended a @DEADLINE event for the Directors Guild titled ""The Contenders"". Award season is in full swing. Photos and video from the appearance here   ",positive
"RT @ThePlaylist: ""I was part of the #ManicPixieDreamGirl coining. I find it very upsetting to be part of that.
#NataliePortman ",negative
#NataliePortman received @IndieWire Honors last night. Lots of great photos here   ,positive
A very cool 10-min video interview with #NataliePortman as she takes us through her #filmography. ,positive
Happy #Halloween  ,positive
WOW - Check out #NataliePortman in the new Vanity Fair. Full cover story and photoshoot here   ,positive
"Natalie Portman at #AFIFest, a new interview plus @maddieziegler dresses as Mathilda for Halloween. 
All those news items are here   ",negative
"#NataliePortman met with #BetoORourke's team in Texas on Friday 
  ",negative
"Natalie Portman attended the #AustinFilmFestival Screening of #VoxLux 
 ",negative
"Natalie Portman is in Texas throwing her support behind democrats in the upcoming #MidtermElections. Photos and video at the link. #equalityvoters
  ",positive
"The #VoxLux poster from yesterday was NOT an official release. Apologies for that. 
  ",negative
The full #VoxLux trailer is here and it is glorious. Enjoy   ,positive
"#NataliePortman attended an #EatingAnimals Screening a few days ago
More here   ",negative
"#NataliePortman lands the rather unspecific ""Performance Award"" from @IndieWire and will attend a ceremony on Nov 1. 
Read about it here   ",positive
"#NataliePortman attended Benjamin's @LADanceProject gala on the weekend and lips were locked!
  ",negative
"Remember the opportunity to go on a double date with #NataliePortman? Well it happened and this was the lucky winner. More details here 
  ",positive
RT @Seaynick: fortunate to see VoxLux @chifilmfest film was a high surprise! Here are Natalie Portman and Brady Corbet discussing the the f,positive
RT @sw_holocron: George Lucas and Natalie Portman on set ,negative
"RT @mattzollerseitz: ANNIHILATION got within box office shouting distance of the directors last film, even though by week 3 it was playing",positive
"All 40 #NataliePortman Movies Ranked From Worst To Best. Agree? Disagree? 
 ",negative
Have you seen #NataliePortman's new appearance on the Today Show yet? Nudge nudge   ,negative
"Watch #NataliePortman's inspiring 15 min #WomenOfPower speech here  
 ",positive
"Earlier today #NataliePortman appeared at Variety's #PowerOfWomen event 
  ",negative
RT @Variety: Natalie Portman reacts to Brett Kavanaugh's confirmation to the Supreme Court (Watch) | Variety's #PowerOfWomen presented by @,positive
RT @Variety: Natalie Portman explains how she's still learning to use her power at #PowerOfWomen presented by @lifetimetv ,negative
RT @Variety: Natalie Portman shares her childhood obsession with 'The Baby-sitters Club' books #PowerOfWomen presented by @lifetimetv ,negative
RT @Variety: Honorees Natalie Portman and Tiffany Haddish have arrived at Variety's #PowerofWomen presented by @lifetimetv along with #MeTo,positive
#NataliePortman made an appearance in a new video with other celebs like #JuliaRoberts and #AnneHathaway to talk about #InternationalDayoftheGirl. Watch the video here  ,positive
It's happening - Neon get's behind #NataliePortman with a #BestSupportingActress campaign   ,negative
"#NataliePortman has a new #Variety feature #TimesUp 
Check it out here   ",negative
Not the clearest but a new photo of #natalieportman in #voxlux  ,negative
@JellyBeam009 It is a quote from a vanity fair article.,positive
"@JellyBeam009 @MerylStreepPage I very much regret it, she said. I take responsibility for not thinking about it enough. Someone I respected gave it to me, and said, I signed this. Will you too? And I was like, sure. It was a mistake.""",positive
Swan for me. ,negative
"RT @ErikaOlde: From Natalie Portman to Melissa McCarthy to Viola Davis, badass
women rocked the Toronto Film Festival @voguemagazine
",positive
@Gustavo05459953 @harari_yuval If you liked him check out his recent appearance on the Waking Up podcast.,positive
"Be sure to watch #NataliePortman's appearance with Yuval Noah Hari here 
  ",positive
"RT @eliesaaabs: Natalie Portman for Miss Dior, 2017. ",negative
"#NataliePortman to be honoured by @Variety at Power of Women luncheon 
Check the details here   ",positive
RT @Nurse__abby: @scottderrickson Also #gardenstate them all screaming to #onlylivingboy is like.... oh man. Oh man the goosebumps and chil,negative
Not even finished but already great. ,positive
@ESearleDesigns Lovely job,positive
Find out more about Natalie Portman's #BelieveSummers support here   ,positive
"@the_jenr I'll do it with a ban. Annoying spam, been thinking of creating a private fb group instead.",negative
@BFHU1925 @HebrewU @HebrewUAlum This is not an official channel for Natalie.,negative
Yuval is awesome. Looking forward to this. ,positive
RT @lunainoor: #LeonTheProfessional was released 24 years ago on September 14. Directed by the legend @lucbesson with tremendous cast @Jean,negative
@the_jenr @GabrielKinneavy Are you saying Natalie is bad at sex? ,negative
@the_jenr @GabrielKinneavy One RT for many likes ,positive
RT @the_jenr: @AnnihilationMov featured as no.2 under Scariest Movies of 2018.  #NataliePortman @esquire ,negative
#VoxLux to open Dec 7 in limited release and wide 2 weeks later. Prime position for awards consideration    ,positive
"Andreas reviews the Death and Life of John F. Donovan from #TIFF18 #xavierdolan 
  ",negative
Andreas saw #VoxLux at #TIFF18 - here are his thoughts for    ,negative
"Check out #NataliePortman's Vanity Fair video interview for #VoxLux here 
 ",positive
Natalie Portman looking radiant for #VanityFair Italy   ,positive
A very sweet video interview with #NataliePortman and the young actor from #XavierDolan's new film   ,positive
"Some more great portraits of #NataliePortman taken during #TIFF18 
  ",positive
"Good news - #VoxLux has been bought by Neon for US distribution 
  ",positive
The first reactions to #NataliePortman's new #XavierDolan film at #TIFF18 are here   ,negative
More #VoxLux video interviews are here   ,negative
"New Vanity Fair portrait of #NataliePortman 

 ",positive
"New #NataliePortman tidbits here  

""Natalie got her groove on as soon as the DJ started playing #CardiB. He transitioned into Natalies Rap 2.0 by The Lonely Island and she couldnt help but sing along and dance with her friends!"" ",negative
"Check out a brand new video interview with Natalie, Jude and Brady with #Variety for #VoxLux -   ",negative
"Loving these #VoxLux After Party pics of #NataliePortman, #JudeLaw and Bradey Corbet   ",positive
"#VoxLux just screened at #TIFF18 with #NataliePortman in attendance and the reactions are great  

""VOX LUX was a wild trip. Muscular filmmaking. Natalie Portman tremendous, as she so often is. Shell be a strong contender for her fourth #Oscar nod"". ",positive
"Some truly stunning photos of #NataliePortman from Venice here 
  ",positive
"Vox Lux is a powerful, haunting film in part because Portman is a powerful, haunting presence  you cant turn away from her, even if you occasionally want to.

The first reviews for #VoxLux are very encouraging. Read them here 
  ",positive
"Natalie Portman is divine on the #redcarpet at the #VeniceFilmFestival
View the photos here   ",positive
"#NataliePortman wows at the #VoxLux press call  

  ",positive
Early reactions of #VoxLux are in. Proper reviews should be arriving later today. Check out the early word on the film here   ,negative
Photos and video from #NataliePortman's #VoxLux press conference are here   ,negative
"A lot of #NataiePortman news coming your way, starting with her arrival for the #VoxLux press conference. See the photos here   ",negative
"In case you missed it, the #VoxLux teaser trailer is here. ",negative
"#NataliePortman arrives in Venice for the #VoxLux premiere at #VeniceFilmFestival2018 
  ",negative
A #Dior oldie but a goodie #NataliePortman #PinkDress ,negative
"CONFIRMED - #NataliePortman will be attending #TIFF18 

Details here   ",negative
"Agree, the character tracking shot is very reminiscent. Director's love Natalie's back. ",positive
RT @signature_coins: #WednesdayWisdom watch @natpdotcom destroy these wings ,negative
"I approve of these NEW #NataliePortman Dior photos  
See them all here   ",negative
The #VoxLux teaser #trailer is here. It certainly doesn't give away much but its a tantalizing start   ,positive
"RT @jacman6222: Wow! Watched movie ""Closer"" for first time after all these years.
Good, adult movies like this NEVER  go bad.  Outstanding",positive
"Gorgeous #Dior behind the scenes videos of #NataliePortman from the new Rouge Dior campaign 
  ",positive
"""Vox Lux teaser trailer coming soon"" - according to film's producer #VoxLux #VeniceFilmFestival
  ",negative
#NataliePortman behind the scenes on #StarWars Revenge of the Sith with #ewanmcgregor #HaydenChristensen and #georgelucas ,negative
Vox Lux is also going to #TIFF2018    ,negative
Natalie Portman has posted an Instagram photo with an #ACLU lawyer. Find out why here   ,negative
Natalie Portman is now confirmed to direct and star x2 in a #biopic about the Friedman twins  ,negative
"The HD Rouge #Dior commercial is finally here #NataliePortman 
   ",negative
Black and white beauty from 2012 #NataliePortman #photoshoot ,positive
"Wow, #NataliePortman is  in these new #dior campaign previews 
  ",positive
This is awesome - releasing today via #Mondo #blackswan #filmposter -  ,positive
Posing with #ZacPosen in 2004 ,negative
"""The rise of Celeste from the ashes of a major national tragedy to pop superstardom."" ",negative
The first official photo of #NataliePortman in #VoxLux has arrived and it was worth the wait -  ,positive
Starting a new marketing agency. We have plenty of followers on Twitter and now want to grow Facebook. Would mean a lot if you could follow here. We mainly post marketing tips  - ,positive
"What are you most excited about? Natalie going to #TIFF for Life and Death, going to #Venicefilmfestival for Vox Lux, shooting her new astronaut film or the news that she might star as twins in her next directional feature?",negative
The answer was Paris Je t'aime ,negative
"RT @Latinitas: This #MotivationMonday we turn to actress, philanthropist, and @Harvard alumna, @natpdotcom for inspiration. Dont feel unmo",positive
Know where this #NataliePortman photo is from?  ,negative
Now's your chance to go on a double date with #NataliePortman   ,positive
"Ever wanted to go on a double date with #NataliePortman and Benjamin? Well, now's your chance. In this HILARIOUS new video, Natalie announces her intention to do that in support of @Omaze and We Schools. Watch it here  ",positive
"Natalie Portman's next film, The Death and Life of John F. Donovan (man I hate that title) will be premiering at #TIFF in just a few weeks! 

 ",negative
The Death and Life of John F. Donovan is going to #TIFF18 - think Natalie will attend for the premiere?   ,negative
Remember when Natalie Portman taught us how to make chickpea stew on Munchies? #Goodtimes #Vegan   ,negative
Looking elegant for @TheWrap in 2017 #NataliePortman ,positive
"The new Rouge #Dior campaign brings the heat  Photos and video here 
  ",negative
"Natalie Portman has confirmed that she is going to #VeniceFilmFestival for #VoxLux 
  ",negative
"BREAKING NEWS  Natalie Portman's next project could be directing herself playing rival identical twin sisters, Esther and Pauline Friedman  ",positive
Vox Lux (and Natalie?) is heading to the #VeniceFilmFestival   ,negative
"Not sure if its still called Pale Blue Dot but here is the first photo of #NataliePortman (posted on her Instagram) in character as astronaut Lucy Cola #sneakpeak 
 ",negative
Lipstick blues for #NataliePortman in Jackie ,negative
"Here is the cover for Queen's Shadow, the new Padme novel from @ek_johnston unveiled at #SDCC2018  ",positive
In this news roundup - Padme returns to the #StarWars world in new novelization. Pale Blue Dot now titled Life On Earth? And a new #NataliePortman video can be found here  ,negative
The new Rouge #Dior campaign is here and it is incredible thanks to #NataliePortman and a red jersey. Check out the video here   ,positive
A WONDERFUL tribute video from #NataliePortman for nobel laureate and #vegetarian Isaac Bashevis Singer. Watch it here   ,positive
Did you catch #NataliePortman discussing her Eating Animals #documentary on SiriusXM?    ,negative
Grab tickets to see #NataliePortman and @harari_yuval in conversation in London  ,negative
"Click here for some updates from #NataliePortman's next film, which starts filming very soon    ",negative
Classy #NataliePortman curls from the Vanity Fair Oscar after-party in 2010. ,positive
A striking shot from 2007 in T Magazine #NataliePortman #photoshoot ,negative
Natalie Portman teaches us how to make chickpea stew on Munchies #veganfood #veganrecipes   ,negative
Elegant in black and white for Marie Claire in 2016. ,positive
"""If you have to choose between telling a lie or insulting someone, choose to be generous."" - Natalie Portman's Fania Oz in A Tale of Love and Darkness  #moviequotes ",negative
"In today's tidbits update, the results of the LA Online Film Critics mid-year awards and the Genesis Prize is given to #RuthBaderGinsburg   ",positive
Natalie Portman looking incredible for the @latimes -  ,negative
Did you catch #NataliePortman's appearance on CBS a couple weeks ago?   ,negative
A really sweet new video interview with #NataliePortman from her Boston Calling appearance is here   ,positive
Happy #FourthofJuly ,positive
Classic cool from Harper's Bazaar in 2015 #NataliePortman #celebritystyle ,positive
Annihilation has landed 4 nominations for the LA Online Film Critics @LAOFCS mid-year awards including #NataliePortman for Best Actress. Winners are announced this week  ,positive
Natalie joined the march for #familiesbelongtogether this weekend -  ,negative
"Another day, another new video of #NataliePortman on a food program. This time making #vegan carpaccio for @bonappetit -  ",negative
Awww! Did you see Natalie Portman answering fan questions while playing with #puppies for Buzzfeed?   ,positive
I've been helping with the #Kickstarter campaign for a #documentary about the rise and fall of the 80s action films. We hit our funding goal in just 11 days  but need more support to make the best film possible.  Get more details here   ,positive
We don't normally share paparazzi photos here (for that you need to check the main site) but this photo of #NataliePortman with a #Stormtrooper at Disneyland can't be ignored -  ,positive
Teenage crushing from Marty in Beautiful Girls #NataliePortman #90skid ,positive
In a new tidbits update we have Natalie pulling out of a deal to acquire the rights for a new TV series. Click the link and you'll see why -  ,negative
A second day of Eating Animals LA screenings and we have some photos and videos of #NataliePortman at the event here   ,negative
"Natalie Portman attends another screening of Eating Animals, this time in LA. Pics and video from the event are here  

#NataliePortman #Vegan ",negative
Here's an 8 minute video of #NataliePortman discussing #EatingAnimals on SiriusXM   ,negative
Natalie Portman answers quick questions about #veganism in this new video from @Popsugar   ,negative
View and sign #NataliePortman's @MoveOn immigration petition -  ,negative
Sign the petition: Join Natalie Portman and add your name to stop family separation!  ,negative
More photos and a video clip of #NataliePortman at a second #EatingAnimals screening from the weekend are here   ,negative
Natalie Portman looking cute as buttons at a screening of Eating Animals at Landmark Theatres in NY. More photos and vids here   ,positive
Here are some lovely photos of Natalie Portman leaving her interview for SiriusXM in New York -  ,positive
"Natalie Portman recorded an interview for #SiriusXM, which should be released soon -  ",negative
"Natalie Portman's appearance on CBS This Morning to talk about documentary, Eating Animals, is here   ",negative
The content keeps coming - Natalie Portman answers fan questions while playing with #puppies for Buzzfeed -  ,positive
Natalie Portman teaches us how to make chickpea stew on Munchies -  #veganrecipes #veganfood ,negative
Some gorgeous Natalie Portman photos with a new interview in the @latimes -  ,positive
Natalie Portman dolls up for the premiere of the documentary #EatingAnimals (which she producer and narrates) -  ,negative
Natalie Portman's full appearance on The Late Show is here   ,negative
"Natalie Portman's @firstwefeast video has arrived and it is fantastic. Incredibly enough, one of the most enjoyable interviews I can remember. And she has one tough palate! 

Watch it here   ",positive
"A New Kind of Hot for Natalie Portman as she is set to take on spicy ""Wings of Death"" - ",negative
Loving this new photo of #natalieportman and #ginarodriguez -  ,positive
@filmkommentar Probably not. Instagram is your best bet.,positive
The final day of #PORTMANIA is here - ,negative
"Happy birthday, Natalie Portman! ",positive
Portmania day 4 went to the dogs -  ,negative
"RT @ThePlaylist: ""Ninety per cent of how you learn is watching great people. When you are surrounded by good actors it lifts your performan",positive
"What is PORTMANIA? What ISN'T PORTMANIA! - 

#natalieportman #portmania ",negative
Just created another PORTMANIA video for later. Think you guys are going to find it a lot of fun.,positive
Her birthday is on the 9th :-) ,positive
Portmania Day 1 video is here! #NataliePortman #HappyBirthday ,negative
Some awesome photos of #NataliePortman from Boston Calling are here -  ,positive
Is Natalie Portman's Jane Foster going to make a shock return to the Marvel Cinematic Universe?  ,positive
Natalie Portman - InStyle AlWays #natalieportman #covermodel ,negative
"Annihilation is out on Blu-ray today and we have some fantastic new photos of #NataliePortman, #TessaThompson and #GinaRodriguez to go with the release  View them all here  ",positive
RT @jimrichie78: Natalie Portman has come a long way since the #StarWars prequels @natpdotcom  #NataliePortman ,negative
An early cut of Vox Lux was seen by one of the producers and his comments sound VERY encouraging. Check them out here -  ,positive
Natalie Portman introducing the amazing #ZolaJesus on day 3 of #BostonCalling -  ,positive
"RT @4KBrian: Check out our #4K @UltraHDBluray review of #Annihilation, one of the years greatest films thus far if I dont say so myself!",positive
RT @ms_9: NEW VIDEO Natalie Portman smiles to fans while leaving Boston Calling Film Festival  @bostoncalling @bratt,positive
"Who's excited for#BostonCalling day 2? Natalie Portman, that's who -  ",positive
Some more great pics of #NataliePortman at #BostonCalling are here -  ,positive
Natalie Portman's mini film festival at #BostonCalling kicked off yesterday -  #NataliePortman #FilmFestival ,positive
Today #Annihilation is released digitally so we have a new still from the film and some clips from the special features -  ,positive
Cannes has never looked better than when #NataliePortman was on its beaches. ,negative
Here's a breakdown of the #Annihilation special features for the upcoming DVD and Blu-ray release next week -  ,positive
I agree! ,positive
Rising Sun - Gorgeous #NataliePortman shot from W in 2011. ,positive
The drama continues. #NataliePortman to receive Genesis Prize after all  ,positive
Natalie Portman's Boston Calling guests are awesome. #StVincent #zolajesus  -  ,positive
Natalie shares her #CannesFilmFestival history on Instagram. So many gorgeous appearances -  ,positive
Name that Natalie Portman film. Go! ,negative
"Dan Stevens (Legion) joins Natalie's next film, Pale Blue Dot #NataliePortman #CASTING -  ",negative
Is Natalie Portman's Jane Foster to return to the #Marvel Cinematic Universe?  ,negative
Awww - Natalie Portman posts a sweet message to her mom for #MothersDay -  ,positive
Natalie Portman Just Taught Us How To Criticize Israel With Love -  ,positive
"Natalie Portman has landed a husband for her next film, Pale Blue Dot - Dan Stevens, the star of Legion -  ",negative
"Sadly, #NataliePortman isn't at #CannesFilmFestival2018 this year. But let's remember this great smirky shot from 2015. ",positive
Natalie Portman posts about her #CannesFilmFestival history on Instagram. What was your fav outfit? -  ,positive
Have you seen the trailer for Natalie Portman's produced and narrated documentary #EatingAnimals? -  ,negative
"""Are you like a crazy person?"" - Natalie Portman as Evey in #VforVendetta ",positive
Natalie Portman got into the #MayThe4thBeWithYou action by posting a photo of herself with George Lucas and this photo from her latest SNL appearance. ,negative
"""I am the one who leaves"" - Natalie Portman's Alice from Closer. ",negative
The poster and trailer for the Natalie Portman produced and narrated documentary #EatingAnimals is here -  ,negative
A #NataliePortman outtake to end all outtakes. Bam -  ,negative
Get all the details for Natalie Portman's upcoming film festival at #BostonCalling. ,positive
Natalie Portman posted an adorable photo of herself as a child for #oldheadshotday -  ,positive
Natalie Portman appears on makeup artist Shane Paish's Instagram feed. New #photoshoot on the way? We can hope -  ,positive
"What is #NataliePortman doing at #BostonCalling? Why, she's hosting a mini film festival -  ",positive
Interesting take from @voxdotcom on the #NataliePortman controversy -  ,positive
"This piece nailed it - ""Natalie Portman Just Taught Us How To Criticize Israel With Love""  ",positive
"Natalie Portman has posted a reasonable explanation for her decision not to receive her Genesis award. I'm sure nobody will be able to argue with that...just kidding, of course they will! -  ",positive
"Tempted not to post this because political stances from Natalie, particularly related to Israel, get fierce blowback from one side or the other. But here you go - Natalie has seemingly chosen not to accept her Genesis prize -  ",positive
"If you haven't seen it yet, don't miss #NataliePortman in Annihilaton - coming to Blu-ray on May 29 -  ",positive
Natalie Portman pic of the day - a stunning image from #BlackSwan ,positive
RIP #MilosForman - a true great who also directed Natalie Portman in Goyas Ghosts -  ,positive
Thanks to our #patreon supporters we have a new server at last! -  ,positive
A new behind the scenes photo of Natalie Portman from #Thor #Marvel -  ,negative
@Nieamodian13 Noah Hawley the creator of Fargo the series.,negative
True - that is beyond moving. ,positive
RT @RebeccaSkloot: Saw #Annihilation. Wow. Never imagined Id watch Natalie Portman reading my book in a film. Mind = blown by the many way,positive
#NataliePortman looks the business on this new Chinese film poster for #Annihilation -  ,negative
Learn more about the VFX in Annihilation from the film's VFX supervisor -  ,negative
#Annihilation keeps inspiring #artists -  ,positive
Don't miss #NataliePortman at #BostonCalling. I hope she plays all the hits -  ,positive
Take a closer look at #AnnihilationMovie set decoration with some new #NataliePortman photos as a bonus -  ,positive
"The brilliant Zazie Beats (Atlanta) joins Natalie Portman's next film, Pale Blue Dot -  ",positive
The awesome #Annihilation fanart keeps rolling in! -  ,positive
Natalie Portman's (producer and narrator) documentary Eating Animals will be released in June  #eatinganimals #Documentary -  ,negative
Awesome new outtakes from Natalie Portman's British Vogue appearance in 2005 -  ,positive
Natalie Portman's (producer and narrator) documentary Eating Animals will be released in June  #eatinganimals #Documentary -  ,negative
160 mb of Natalie Portman photos from our gallery will soon be sent out as a reward to our #Patreon subscribers. Not a patron yet? There's still time -  ,positive
I saw #AnnihilationMovie and here's what I thought -  ,negative
Natalie Portman's next film will indeed be Pale Blue Dot for Noah Hawley (Fargo) and co-starring John Hamm (Mad Men) -  ,negative
Cheeky Natalie Portman from Glamour in 2007. ,positive
Natalie Portman attended #marchforourlives in LA - ,negative
Several new (awesome) pieces of #AnnihilationMovie fanart -  ,negative
Learn more about the VFX in Annihilation from the film's VFX supervisor #Annihilation #AnnihilationMovie -  ,negative
RT @TomKeo: Genuinely the most insane alien/sci-fi I have ever seen oh my days @AnnihilationMov @natpdotcom @ginarodriguezbr @TessaThompson,negative
@MarioJimen69 Beautiful Girls is a must see.,positive
A video showing every #natalieportman movie in sequence. How many have you seen? - ,negative
Check out some awesome and creative #AnnihitationFilm fanart -  ,positive
A beautiful #NataliePortman blur from 2005. ,positive
